Publication Type,Authors,Author Full Name,Group Authors,Document Title,Publication Name,Book Series Title,Editor,Language,Document Type,Edition,Discipline,Research Areas,Author Keywords,Keywords Plus®,Abstract,Author Address,Publisher Address,Author's E-Mail,ResearcherID,ORCID Identifier,180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,Publisher Web Address,ISSN,ISBN,29-Character Source Abbreviation,ISO Source Abbreviation,Year Published,Publication Date,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Page Count,DOI,Document Delivery Number,PubMed ID,Open Access Indicator,Highly Cited Status,Hot Paper Status,Date of Export,Accession Number
J,"Akhtar, N; Han, JY","Akhtar, Nadeem; Han, Jen-Yu",,Machine learning -driven reclassification of air quality zones and PM2.5 prediction: A case study in a subtropical region,URBAN CLIMATE,,,,Article,,,Environmental Sciences & Ecology; Physical Sciences - Other Topics,"PM2.5 prediction, Air quality modeling, Machine learning, Spatial zoning, Hierarchical agglomerative clustering",POLLUTION,"Air quality prediction is crucial for effective environmental management. However, traditional approaches often rely on administrative zoning schemes that fail to capture fine-scale variations in pollution patterns. This gap arises because administrative boundaries misrepresent the dynamic nature of PM2.5, reducing the accuracy, spatial resolution, and policy relevance of machine learning-based prediction models. To address this, a spatially adaptive prediction framework was developed, integrating data-driven reclassification of air quality zones with machine learning techniques. A comprehensive five-year dataset (2018-2022) from 74 ground-based monitoring stations across Taiwan was analyzed using Radial Basis Function (RBF) interpolation and Hierarchical Agglomerative Clustering (HAC). This analysis delineated 14 empirically derived air quality zones based on spatiotemporal similarities in PM2.5 concentration patterns. These refined zones were incorporated into four machine learning models to evaluate the impact of spatial zoning on prediction performance. The results indicated that the reclassified zones substantially enhanced model accuracy, with R2 values reaching 0.85 and reducing RMSE by over 40 % in pollution-intensive regions. This framework provides a scalable and transferable approach for high-resolution PM2.5 prediction, improving exposure assessment and enabling targeted air quality interventions. The findings contribute to spatial air quality modeling by demonstrating that empirically derived zoning can enhance PM2.5 prediction reliability and support the development of data-driven air quality management strategies.","[Akhtar, N; Han, JY] Natl Taiwan Univ, Dept Civil Engn, 1,Sec 4,Roosevelt Rd, Taipei 10617, Taiwan","Akhtar, N (corresponding author), Natl Taiwan Univ, Dept Civil Engn, 1,Sec 4,Roosevelt Rd, Taipei 10617, Taiwan.",nadeemcivil00@gmail.com,,,,,,,,,,,,,2026,FEB,65,,,,,2766,2766,,10.1016/j.uclim.2025.102766,,,,,,2026-04-23,CCC:001659213700001
J,"Gutiérrez-Avila, I; Arfer, KB; Carrión, D; Rush, J; Kloog, I; Naeger, AR; Grutter, M; Páramo-Figueroa, VH; Riojas-Rodríguez, H; Just, AC","Gutierrez-Avila, Ivan; Arfer, Kodi B.; Carrion, Daniel; Rush, Johnathan; Kloog, Itai; Naeger, Aaron R.; Grutter, Michel; Paramo-Figueroa, Victor Hugo; Riojas-Rodriguez, Horacio; Just, Allan C.",,Prediction of daily mean and one-hour maximum PM2.5 concentrations and applications in Central Mexico using satellite-based machine-learning models,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,,,,Article,,,Environmental Sciences & Ecology,"Machine-learning model, Environmental modeling, Particulate matter, Remote sensing, Air quality management, Air pollution","HOSPITAL ADMISSIONS, TEMPERATURE, MORTALITY","Background Machine-learning algorithms are becoming popular techniques to predict ambient air PM2.5 concentrations at high spatial resolutions (1 x 1 km) using satellite-based aerosol optical depth (AOD). Most machine-learning models have aimed to predict 24 h-averaged PM2.5 concentrations (mean PM2.5) in high-income regions. Over Mexico, none have been developed to predict subdaily peak levels, such as the maximum daily 1-h concentration (max PM2.5). Objective Our goal was to develop a machine-learning model to predict mean PM2.5 and max PM2.5 concentrations in the Mexico City Metropolitan Area from 2004 through 2019. Methods We present a new modeling approach based on extreme gradient boosting (XGBoost) and inverse-distance weighting that uses AOD, meteorology, and land-use variables. We also investigated applications of our mean PM2.5 predictions that can aid local authorities in air-quality management and public-health surveillance, such as the co-occurrence of high PM2.5 and heat, compliance with local air-quality standards, and the relationship of PM2.5 exposure with social marginalization. Results Our models for mean and max PM2.5 exhibited good performance, with overall cross-validated mean absolute errors (MAE) of 3.68 and 9.20 mu g/m(3), respectively, compared to mean absolute deviations from the median (MAD) of 8.55 and 15.64 mu g/m(3). In 2010, everybody in the study region was exposed to unhealthy levels of PM2.5. Hotter days had greater PM2.5 concentrations. Finally, we found similar exposure to PM2.5 across levels of social marginalization. Significance Machine learning algorithms can be used to predict highly spatiotemporally resolved PM2.5 concentrations even in regions with sparse monitoring. Impact Our PM2.5 predictions can aid local authorities in air-quality management and public-health surveillance, and they can advance epidemiological research in Central Mexico with state-of-the-art exposure assessment methods.","[Gutiérrez-Avila, I; Arfer, KB; Carrión, D; Rush, J; Kloog, I; Just, AC] Icahn Sch Med Mt Sinai, Dept Environm Med & Publ Hlth, New York, NY 10029 USA; [Carrión, D] Yale Univ, Sch Publ Hlth, Dept Environm Hlth Sci, New Haven, CT USA; [Carrión, D] Yale Univ, Sch Publ Hlth, Ctr Climate Change & Hlth, New Haven, CT USA; [Kloog, I] Ben Gurion Univ Negev, Dept Geog & Environm Dev, Beer Sheva, Israel; [Naeger, AR] Univ Alabama, Earth Syst Sci Ctr, Huntsville, AL 35899 USA; [Grutter, M] Univ Nacl Autonoma Mexico, Inst Ciencias Atmosfera & Cambio Climat, Ciudad De Mexico, Mexico; [Páramo-Figueroa, VH] Comis Ambiental Megalopolis, Ciudad De Mexico, Mexico; [Riojas-Rodríguez, H] Inst Nacl Salud Publ, Direcc Salud Ambiental, Cuernavaca, Mexico; [Just, AC] Icahn Sch Med Mt Sinai, Inst Expos Res, New York, NY 10029 USA","Gutiérrez-Avila, I (corresponding author), Icahn Sch Med Mt Sinai, Dept Environm Med & Publ Hlth, New York, NY 10029 USA.",ivan_2c@hotmail.com,,,,,,,,,,,,,2022,NOV,32,6,,,SI,917,925,,10.1038/s41370-022-00471-4,,,,,,2026-04-23,CCC:000895936400013
J,"Alrashidi, H; Sibai, FN; Abonamah, A; Alrashidi, M; Alsaber, A","Alrashidi, Huda; Sibai, Fadi N.; Abonamah, Abdullah; Alrashidi, Mufreh; Alsaber, Ahmad",,PM2.5: Air Quality Index Prediction Using Machine Learning: Evidence from Kuwait's Air Quality Monitoring Stations,SUSTAINABILITY,,,,Article,,,Environmental Sciences & Ecology; Geography,"air pollution modeling, machine learning regression, PM2.5, air quality monitoring systems, public health policy, industrial air quality",,"Air pollution poses a significant threat to public health and the environment, particularly fine particulate matter (PM2.5). Machine learning (ML) models have proven their accuracy in classifying and predicting air pollution levels. This research trains and compares the performance of eight machine learning regression models on a time series air quality dataset containing data from 12 dispersed air quality stations in Kuwait, to predict the PM2.5 Air Quality Index (AQI). After cleaning then trimming the large dataset to about 13.4% of its original size, we performed thorough data visualization and analysis of the dataset to identify important patterns. Next, in a set of five experiments exploring feature pruning, the tree-based models, namely Gradient Boosting and AdaBoost, generated mean square errors below 1.5 and R2 numbers above 0.998, outperforming the other ML models. By integrating meteorological data, pollution source information, and geographical factors specific to Kuwait, these models provide a precise prediction of air quality levels. This research contributes to a deeper understanding and visualization of Kuwait's air pollution challenges, and draws some public policy recommendations to mitigate environmental and health impacts.","[Alrashidi, H] Kuwait Coll Sci & Technol, Dept Comp Sci & Engn CSE, Block 4, Kuwait 35004, Kuwait; [Alrashidi, H] Arab Open Univ, Dept Informat Technol & Comp, Ardiya 92400, Kuwait; [Sibai, FN] Gulf Univ Sci & Technol, Ctr Sustainable Dev, Elect & Comp Engn Dept, Kuwait 32093, Kuwait; [Abonamah, A] George Washington Univ, GWU Environm & Energy Management Inst, Sch Engn & Appl Sci, Washington, DC 20052 USA; [Alrashidi, M] Kuwait Inst Sci Res, Qual Hlth Safety & Work Environm Dept QHSWED, POB 24885, Safat 13109, Kuwait; [Alsaber, A] Amer Univ Kuwait, Dept Management, 15 Salem Al Mubarak St, Salmiya 13034, Kuwait","Alrashidi, H (corresponding author), Kuwait Coll Sci & Technol, Dept Comp Sci & Engn CSE, Block 4, Kuwait 35004, Kuwait.; Alrashidi, H (corresponding author), Arab Open Univ, Dept Informat Technol & Comp, Ardiya 92400, Kuwait.; Sibai, FN (corresponding author), Gulf Univ Sci & Technol, Ctr Sustainable Dev, Elect & Comp Engn Dept, Kuwait 32093, Kuwait.",h.alrashidi@kcst.edu.kw; sibai.f@gust.edu.kw; a.abonamah@gwu.edu; mrashidi@kisr.edu.kw; aalsaber@auk.edu.kw,,,,,,,,,,,,,2025,OCT,17,20,,,,9136,9136,,10.3390/su17209136,,,,,,2026-04-23,CCC:001602367400001
J,"Han, ZZ; Guan, TY; Wang, XF; Xin, X; Song, XM; Wang, YD; Dong, C; Ren, PJ; Chen, ZM; Ren, SL; Zhang, QZ; Wang, Q","Han, Zizhen; Guan, Tianyi; Wang, Xinfeng; Xin, Xin; Song, Xiaomeng; Wang, Yidan; Dong, Can; Ren, Pengjie; Chen, Zhumin; Ren, Shilong; Zhang, Qingzhu; Wang, Qiao",,Development of a data-driven three-dimensional PM2.5 forecast model based on machine learning algorithms,ENVIRONMENTAL TECHNOLOGY & INNOVATION,,,,Article,,,Agriculture; Energy & Fuels; Engineering,"Prediction, Three dimension, Machine learning, Multi-source data","YANGTZE-RIVER DELTA, EMISSION CONTROL STRATEGIES, AEROSOL OPTICAL DEPTH, AIR-QUALITY, MASS CONCENTRATION, CHINA, RETRIEVALS, POLLUTION, TRENDS, CHEMISTRY","Fine particle matter (PM2.5) pollution is a global environmental problem and has significant impacts on air quality and human health. Accurate prediction is crucial for mitigating PM2.5 pollution and reducing its environmental and health impacts. However, the current data-driven PM2.5 prediction model does not fully consider the vertical distribution pattern and the contribution of source emissions to achieve a broader and more accurate prediction of PM2.5. This study introduces a novel approach to predict three-dimensional (3D) air quality at a high spatialtemporal resolution, with multi-source data and machine learning algorithms. Specifically, we developed a two-stage 3D PM2.5 prediction model by standardizing and integrating meteorology data, anthropogenic emission inventory data, air quality monitoring data, and satellite remote sensing data into a 3D dataset. In the first stage, we used random forest (RF) models to estimate the spatial-temporal distributions of aerosol optical depth (AOD) and ozone (O3) density. In the second stage, we further used these estimations to predict hourly PM2.5 concentrations at both the surface and altitude levels with another RF model. To enhance the prediction performance, dynamic corrections were implemented to the predicted PM2.5 concentrations. Using this model, we predicted PM2.5 concentrations for the next 72 hours and validated the spatial-temporal fluctuations against monitoring data across Shandong Province, China. Furthermore, we assessed the contribution of local emissions and evaluated the air quality improvement resulting from local emission reduction measures. Our findings confirm the capability of the data-driven machine learning model for 3D air quality prediction on a regional scale, emphasizing the importance of regional emission control to improve local air quality.","[Han, ZZ; Guan, TY; Wang, XF; Dong, C; Ren, SL; Zhang, QZ; Wang, Q] Shandong Univ, Environm Res Inst, Academician Workstat Big Data Ecol & Environm, Qingdao 266237, Peoples R China; [Xin, X; Song, XM; Wang, YD; Ren, PJ; Chen, ZM] Shandong Univ, Sch Comp Sci & Technol, Qingdao 266237, Peoples R China","Wang, XF (corresponding author), Shandong Univ, Environm Res Inst, Academician Workstat Big Data Ecol & Environm, Qingdao 266237, Peoples R China.",xinfengwang@sdu.edu.cn,,,,,,,,,,,,,2025,FEB,37,,,,,3930,3930,,10.1016/j.eti.2024.103930,,,,,,2026-04-23,CCC:001372524500001
J,"Mahmud, S; Ridi, TBI; Miah, MS; Sarower, F; Elahee, S","Mahmud, Suhail; Ridi, Tasannum Binte Islam; Miah, Mohammad Sujan; Sarower, Farhana; Elahee, Sanjida",,Implementing Machine Learning Algorithms to Predict Particulate Matter (PM2.5): A Case Study in the Paso del Norte Region,ATMOSPHERE,,,,Article,,,Physical Sciences - Other Topics,"ground PM, air quality, machine learning algorithms, Paso del Norte, classification","AIR-QUALITY, REGRESSION, WINTER, TEXAS, MODEL","This work focuses on the prediction of an air pollutant called particulate matter (PM2.5) across the Paso Del Norte region. Outdoor air pollution causes millions of premature deaths every year, mostly due to anthropogenic fine PM2.5. In addition, the prediction of ground-level PM2.5 is challenging, as it behaves randomly over time and does not follow the interannual variability. To maintain a healthy environment, it is essential to predict the PM2.5 value with great accuracy. We used different supervised machine learning algorithms based on regression and classification to accurately predict the daily PM2.5 values. In this study, several meteorological and atmospheric variables were retrieved from the Texas Commission of Environmental Quality's monitoring stations corresponding to 2014-2019. These variables were analyzed by six different machine learning algorithms with various evaluation metrics. The results demonstrate that ML models effectively detect the effect of other variables on PM2.5 and can predict the data accurately, identifying potentially risky territory. With an accuracy of 92%, random forest performs the best out of all machine learning models.","[Mahmud, S] Karen Clark & Co, Boston, MA 02116 USA; [Ridi, TBI] East West Univ, Dept Econ, Dhaka 1212, Bangladesh; [Miah, MS] Univ Texas El Paso, Dept Comp Sci, El Paso, TX 79968 USA; [Sarower, F] New Mexico Sate Univ, Math Dept, Las Cruces, NM 88003 USA; [Elahee, S] Penn State Univ, Dept Chem, State Coll, PA 16801 USA","Mahmud, S (corresponding author), Karen Clark & Co, Boston, MA 02116 USA.",smahmud@karenclarkandco.com,,,,,,,,,,,,,2022,DEC,13,12,,,,2100,2100,,10.3390/atmos13122100,,,,,,2026-04-23,CCC:000902217600001
J,"Gürtepe, IC; Senkal, IT; Ünal, A; Güllü, G; Aslanoglu, Y; Marshall, JD","Gurtepe, Irde Cetinturk; Senkal, Ismail Tarik; Unal, Alper; Gullu, Gulen; Aslanoglu, Yeser; Marshall, Julian D.",,Machine learning-driven regional prediction of PM2.5 concentrations in the eastern mediterranean bridging spatial data gaps in air quality monitoring,ENVIRONMENTAL MODELLING & SOFTWARE,,,,Article,,,Environmental Sciences & Ecology,"PM2.5 mapping, PM2.5 prediction, Air pollution prediction, Machine learning approach, XGBoost algorithm, Spatial data gaps","GLOBAL BURDEN, POLLUTION, UNCERTAINTIES, VARIABILITY, DISEASE","Fine particulate matter (PM2.5) posing significant risks due to its ability to penetrate deep into the respiratory system. This study introduces the Regional PM2.5 Predictor (RPP), a machine learning-based framework designed to estimate PM2.5 concentrations across Turkiye, especially in regions with limited PM2.5 monitoring infrastructure. Leveraging satellite-derived Aerosol Optical Thickness (AOT) data, meteorological variables from ERA5, and ground-based air quality measurements, the model integrates diverse datasets spanning 2018 to 2023, the RPP employs XGBoost algorithms to address spatial monitoring gaps. The model demonstrates strong predictive performance across multiple evaluation scenarios: the seasonal analysis yielded RMSE values of 4.39-10.01 mu g/ m3 and R2 values of 0.66-0.84; temporal evaluations achieved an average RMSE of 8.28 mu g/m3 and R2 of 0.76; spatial (station-blinded) cross-validation maintained reliable predictions with average RMSE of 9.21 mu g/m3 and R2 of 0.71; while random sampling achieved RMSE of 6.82 mu g/m3 and R2 of 0.85 with an 80-20 % split. The framework successfully captured Turkiye's air quality trend, with PM2.5 levels decreasing from 25.52 mu g/m3 (2018) to 18.88 mu g/m3 (2023), while identifying performance variations across diverse topographical regions. The model demonstrated remarkable stability during the COVID-19 pandemic period, achieving its best performance in 2020 (RMSE: 7.54 mu g/m3, R2: 0.80). This approach demonstrates how machine learning can complement traditional monitoring networks, providing cost-effective air quality assessments for public health interventions and environmental policy evaluation.","[Gürtepe, IC; Güllü, G; Aslanoglu, Y] Hacettepe Univ, Environm Engn Dept, Ankara, Turkiye; [Gürtepe, IC] Hacettepe Univ, Grad Sch Sci & Engn, Ankara, Turkiye; [Gürtepe, IC; Senkal, IT] Minist Environm Urbanizat & Climate Change, Climate, Ankara, Turkiye; [Ünal, A] Istanbul Tech Univ, Eurasia Inst Earth Sci, Istanbul, Turkiye; [Ünal, A; Marshall, JD] Univ Washington, Civil & Environm Engn Dept, Seattle, WA USA","Gürtepe, IC (corresponding author), Hacettepe Univ, Environm Engn Dept, Ankara, Turkiye.",irde.gurtepe@gmail.com,,,,,,,,,,,,,2025,AUG,192,,,,,6586,6586,,10.1016/j.envsoft.2025.106586,,,,,,2026-04-23,CCC:001522434800003
J,"Hu, S; Liu, PF; Qiao, YX; Wang, Q; Zhang, Y; Yang, Y","Hu, Shuo; Liu, Pengfei; Qiao, Yunxia; Wang, Qing; Zhang, Ying; Yang, Yuan",,PM2.5 concentration prediction based on WD-SA-LSTM-BP model: a case study of Nanjing city,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,,,,Article,,,Environmental Sciences & Ecology,"Wavelet decomposition, SA optimization, PM2 5 prediction, LSTM, BP, SVR","NEURAL-NETWORK, AIR-QUALITY, PARTICULATE MATTER, POLLUTION","PM2.5 concentration is an important indicator to measure the concentration of air pollutants, and it is of important social significance and application value to realize accurate prediction of PM2.5 concentration. To further improve the accuracy of PM2.5 concentration prediction, this paper proposes a hybrid machine learning model (WD-SA-LSTM-BP model) based on simulated annealing (SA) optimization and wavelet decomposition. Firstly, the wavelet decomposition algorithm was used to realize the multiscale decomposition and single-branch reconstruction of PM2.5 concentrations to weaken the prediction error caused by time series data. Secondly, the SA optimization method was used to optimize the super-parameters of each machine learning model under each reconstructed component, so as to solve the problem that it is difficult to determine the parameters of machine learning model. Thirdly, the optimized machine learning model was used to predict the PM2.5 concentration, and the error value was calculated from the actual measured value. Then, the optimized machine learning model was used to predict the error value. Finally, the predicted error value was added to the predicted PM2.5 concentration to obtain the final predicted PM2.5 concentration. The study is experimentally validated based on daily PM2.5 data collected from Nanjing air quality monitoring stations. The experimental results showed that the RMSE and MAE values of the constructed WD-SA-LSTM-BP model were 5.26 and 3.72, respectively, which were superior to those of the WD-LSTM and LSTM models, indicating that the hybrid machine learning model based on SA optimization and wavelet decomposition could better predict the PM2.5 concentration.","[Hu, S; Liu, PF; Qiao, YX; Wang, Q; Zhang, Y; Yang, Y] Southeast Univ, Sch Instrument Sci & Engn, Nanjing 210096, Peoples R China; [Hu, S] Nanjing South New Town Dev & Construct Grp Co Ltd, Nanjing 210096, Peoples R China","Liu, PF (corresponding author), Southeast Univ, Sch Instrument Sci & Engn, Nanjing 210096, Peoples R China.",230208375@seu.edu.cn,,,,,,,,,,,,,2022,OCT,29,46,,,,70323,70339,,10.1007/s11356-022-20744-7,,,,,,2026-04-23,CCC:000860055000077
J,"Hung, WT; Lu, CH; Alessandrini, S; Kumar, R; Lin, CA","Hung, Wei-Ting; Lu, Cheng-Hsuan (Sarah); Alessandrini, Stefano; Kumar, Rajesh; Lin, Chin -An",,The impacts of transported wildfire smoke aerosols on surface air quality in New York State: A multi-year study using machine learning,ATMOSPHERIC ENVIRONMENT,,,,Article,,,Environmental Sciences & Ecology; Physical Sciences - Other Topics,"PM2.5, Air quality, Smoke aerosol, Machine learning, Vertical mixing","CANADIAN FOREST-FIRES, LONG-TERM TRENDS, PARTICULATE MATTER, PART II, EMISSIONS, CLIMATE, PM2.5, US, VALIDATION, REANALYSIS","Smoke aerosols emitted from wildfires can transport across long distances and affect the local air quality in downwind regions. In New York State (NYS), the local air quality has significantly improved due to reductions in anthropogenic emission over the past decades. As the intensity and frequency of wildfires are continuously increasing under changing climate, smoke aerosols are predicted to become the dominant source of fine particulate matter (PM2.5) concentration in NYS in the future. In this study, smoke and non-smoke cases in NYS during the summer seasons of 2012-2019 were identified using satellite measurements and aerosol reanalysis products. Overall, smoke cases showed higher PM2.5 concentrations than non-smoke cases with average PM2.5 concentrations of 11.5 +/- 5.9 mu g m(-3) and 6.6 +/- 4.6 mu g m(-3), respectively. PM2.5 concentrations exceeding 20 mu g m(-3) mainly occurred during smoke cases. In addition, an artificial neural network (ANN) algorithm was used to estimate surface PM2.5 mass concentrations at 21 air quality monitoring sites in NYS. Results showed that, for smoke cases, the application of predictors designed as indicators of vertical transport mechanisms and smoke inflow from the fire source regions generally improved the model performance by reducing the model errors. Also, analysis of the variable correlations and variable importance indicated that synoptic subsidence, entrainment process, and turbulent mixing within PBL collectively contributed to PM2.5 concentrations for smoke cases. Machine learning techniques showed the capabilities of learning the general air quality features, characterizing the key contributors to PM2.5 concentrations, and distinguishing the vertical transport processes of smoke aerosols.","[Hung, WT; Lu, CH; Lin, CA] SUNY Albany, Atmospher Sci Res Ctr, Albany, NY 12222 USA; [Hung, WT] Univ Corp Atmospher Res, Boulder, CO 80307 USA; [Lu, CH] Joint Ctr Satellite Data Assimilat, Boulder, CO 80301 USA; [Alessandrini, S; Kumar, R] Natl Ctr Atmospher Res, Res Applicat Lab, POB 3000, Boulder, CO 80307 USA","Hung, WT; Lu, CH (corresponding author), SUNY Albany, Atmospher Sci Res Ctr, Albany, NY 12222 USA.",whung@albany.edu; clu4@albany.edu,,,,,,,,,,,,,2021,AUG,259,,,,,18513,18513,,10.1016/j.atmosenv.2021.118513,,,,,,2026-04-23,CCC:000672571200007
J,"Gupta, P; Sayeed, A","Gupta, Pawan; Sayeed, Alqamah",,MERRA2_CNN_HAQAST_PM25: Hourly Bias-Corrected PM2.5 Datasets for Global Air Quality Assessment,GEOSCIENCE DATA JOURNAL,,,,Article,,,Physical Sciences - Other Topics,"air quality, global, machine learning, MERRA2, NASA, PM2.5",,"This product provides MERRA-2 bias-corrected global hourly surface total PM2.5 mass concentration with the exact horizontal spatial resolution as MERRA-2, covering a temporal range from 2000 to 2024. It is derived using a machine learning (ML) approach with a convolutional neural network (CNN) method. It is specifically developed for the NASA Health and Air Quality Applied Sciences Team (HAQAST). The dataset consists of two parameters: MERRA2_CNN_Surface_PM25 and QFLAG. MERRA2_CNN_Surface_PM25, a 3-dimensional variable (time, latitude, longitude), represents the surface PM2.5 concentrations in mu g/m(3). QFLAG denotes the quality of data at each grid point, where four indicates the highest quality and 1 indicates the lowest quality. It is recommended to use QFLAG values of 3 and 4 for quantitative analysis.","[Gupta, P] Goddard Space Flight Ctr, Biospher Sci Lab, Greenbelt, MD 20771 USA; [Sayeed, A] Univ Alabama Huntsville, Huntsville, AL USA; [Sayeed, A] Marshall Space Flight Ctr, Huntsville, AL USA","Gupta, P (corresponding author), Goddard Space Flight Ctr, Biospher Sci Lab, Greenbelt, MD 20771 USA.",pawan.gupta@nasa.gov,,,,,,,,,,,,,2026,MAR,13,2,,,,70070,70070,,10.1002/gdj3.70070,,,,,,2026-04-23,CCC:001727703500001
J,"Khadom, AA; Albawi, S; Abboud, AJ; Mahood, HB; Hassan, Q","Khadom, Anees A.; Albawi, Saad; Abboud, Ali J.; Mahood, Hameed B.; Hassan, Qusay",,Predicting air quality index and fine particulate matter levels in Bagdad city using advanced machine learning and deep learning techniques,JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,,,,Article,,,Physical Sciences - Other Topics,"Air quality, PM2.5, Deep learning, Prediction, Sensitivity analysis","PM10 CONCENTRATIONS, PM2.5 LEVELS, MODELS, SYSTEM, NORTH","Particulate matter pollution is recognized globally as one of the most hazardous forms of air pollution, profoundly impacting environmental integrity and public health. Key metrics for assessing this pollution include the Air Quality Index (AQI) and fine particulate matter with diameters <= 2.5 mu m (PM2.5). These indicators are closely associated with severe health consequences, such as premature death from chronic exposure. While traditional statistical methods have been employed in some studies to evaluate AQI and PM2.5, the application of advanced machine learning techniques has been limited. This research employs deep learning and artificial neural networks (ANN) to forecast AQI and PM2.5 levels in Baghdad, Iraq. The study utilizes an extensive dataset from July 1, 2016, to December 12, 2021, comprising over 48,000 data points for AQI and PM2.5. Time serves as an independent input variable influencing these dependent variables. The analysis employs a diverse set of machine learning algorithms, including random forest, decision tree, K-Nearest Neighbors (KNN), Multi-Layer Perceptron (MLP), and Long Short-Term Memory networks (LSTM). The findings demonstrate that MLP and LSTM models outperform other methods, providing the most accurate predictions. The correlation coefficients were 0.977 and 0.983 for the prediction of AQI and 0.973 and 0.985 for the prediction of PM2.5 using MLP and LSTM, respectively. In addition, the outcomes showed that both AQI and PM2.5 were within the moderate to unhealthy ranges, and their distribution levels pointed to the need for addressing air quality in Baghdad city. Furthermore, this study contributes to the burgeoning field of machine learning applications in environmental science by establishing a robust and nuanced predictive framework for evaluating air quality. It highlights the potential of deep learning in public health applications and offers actionable insights for policymaking to mitigate air pollution and its adverse effects.","[Khadom, AA] Univ Diyala, Dept Chem Engn, Diyala 32001, Iraq; [Albawi, S; Abboud, AJ] Univ Diyala, Dept Comp Engn, Diyala, Iraq; [Mahood, HB] Univ Birmingham, Ctr Sustainable Cooling, Sch Chem Engn, Birmingham, England; [Mahood, HB] Univ Warith Al Anbiyaa, Coll Engn, Karbala, Iraq; [Hassan, Q] Diyala Univ, Dept Mech Engn, Diyala, Iraq","Khadom, AA (corresponding author), Univ Diyala, Dept Chem Engn, Diyala 32001, Iraq.",aneesdr@gmail.com,,,,,,,,,,,,,2024,SEP,262,,,,,6312,6312,,10.1016/j.jastp.2024.106312,,,,,,2026-04-23,CCC:001279360200001
